slang,standard
cak imin,muhaimin iskandar
cakiminow,muhaimin iskandar
gus imin,muhaimin iskandar
gusimin,muhaimin iskandar
gus muhaimin,muhaimin iskandar
gusmuhaimin,muhaimin iskandar
imin,muhaimin iskandar
wan abud,anies baswedan
kadrun,anies baswedan
wan,anies baswedan
abah,anies baswedan
nomor urut1,amin
nomor urut01,amin
nomor urut 1,amin
nomor urut 01,amin
paslon no1,amin
paslon no.1,amin
paslon no 1,amin
paslon no 01,amin
paslon no. 1,amin
paslon no. 01,amin
anies-muhaimin,aniesmuhaimin
anies- muhaimin,aniesmuhaimin
wok wok,prabowo subianto
wowo,prabowo subianto
pragib,prabowogibran
prabowo - gibran,prabowogibran
prabowo-gibran,prabowogibran
nomor urut2,prabowogibran
nomor urut02,prabowogibran
nomor urut 2,prabowogibran
nomor urut 02,prabowogibran
paslon no2,prabowogibran
paslon no.2,prabowogibran
paslon no 2,prabowogibran
paslon no 02,prabowogibran
paslon no. 2,prabowogibran
paslon no. 02,prabowogibran
ganjarpranowo,ganjar pranowo
gama,ganjarmahfud
ganjar-mahfud,ganjarmahfud
gp-mmd,ganjarmahfud
nomor urut3,ganjarmahfud
nomor urut03,ganjarmahfud
nomor urut 3,ganjarmahfud
nomor urut 03,ganjarmahfud
paslon no3,ganjarmahfud
paslon no.3,ganjarmahfud
paslon no 3,ganjarmahfud
paslon no 03,ganjarmahfud
paslon no. 3,ganjarmahfud
paslon no. 03,ganjarmahfud
