slang,standard
buahahaaa,haha
trimaksih,terimakasih
kayaq,kayak
waooowwww,wow
ajj,saja
bund,bunda
apain,apai
luchu,lucu
pdahal,padahal
ninggalin,meninggalkan
kemaren,kemarin
sipp,sip
mlh,malah
foos,food
baikxa,baiknya
maksutku,maksudku
k,ke
loo,loh
nyolong,mencolong
rmh,rumah
nolongin,menolong
miriip,mirip
buatin,buatkan
dimusiumin,dimuseumkan
dikemanain,dikemanakan
spt,seperti
bwa,bawa
skali,sekali
mngira,mengira
oom,om
difahami,dipahami
ngejilat,menjilat
expresi,ekspresi
bulet,bulat
naaahhh,nah
beginii,begini
kuliyh,kuliah
mrangkul,merangkul
qm,kamu
gtau,enggak tau
keknya,kayaknya
ngumung,mengomong
banyaaaak,banyak
akibt,akibat
awaas,awas
skolah,sekolah
tenny,tenang
banhet,banget
abanggku,abangku
brasa,berasa
senyumin,senyumi
wihhhhhh,wih
ketersediaansuplai,ketersediaan suplai
taun,tahun
gweeee,gue
masiih,masih
seandainy,seandainya
ngomenin,mengomentari
ngfans,ngefans
dianterin,diantar
iaa,iya
samaaaa,sama
usahh,usah
digabtikan,digantikan
kapn,kapan
mutihin,memutihkan
kaliann,kalian
ksni,kesini
emak2,emak-emak
hh,hah
pndah,pindah
yekaannn,ya kan
penghrgaan,penghargaan
pkrin,pikirkan
saudra,saudara
suka2,suka-suka
dy,dia
dtgkan,datangkan
twit,tweet
bikinin,bikin
jd,jadi
semngat,semangat
cantikkkk,cantik
mahh,mah
cmn,cuma
danain,mendanai
denger,dengar
abizzzz,habis
duluuu,dulu
xlian,kalian
buwanyak,banyak
kenaliiin,kenalkan
ngiringan,mengiringi
dpke,dipakai
eakyu,waktu
merekaa,mereka
kalu,kalau
bebrp,beberapa
ad,ada
uga,juga
masing2,masing-masing
bangkeeee,bangke
pyudara,payudara
amiinnn,aamiin
gk,tidak
asekkk,asik
baik2,baik-baik
gksi,enggak sih
siiihh,sih
maso,masa
buruann,buruan
ngehancurin,menghancurkan
mbk,mbak
para2,parah-parah
cucok,cocok
skr,sekarang
anakny,anaknya
amen,aamiin
sakut,salut
riel,rill
sukse,sukses
aminakan,aminkan
redho,ridho
nd,indak
mauu,mau
cantiknyaaa,cantiknya
kangennnnnmnnnnnnnnnnnnnnnnn,kangen
warnany,warnanya
diaaa,dia
dbwh,dibawah
tingal,tinggal
prlu,perlu
mnjawab,menjawab
duanyaa,duanya
"membanding""",membanding-banding
kmn,kemana
kualisinya,koalisinya
minin,minim
gayax,gayanya
liatin,melihat
psti,pasti
blik,balik
surpay,survey
liaatt,lihat
allloh,allah
percoyoo,percaya
mnjual,menjual
drimnanya,darimananya
nantik,nanti
guw,gue
robah,ubah
ber-kali2,berkali-kali
jodohny,jodohnya
tengah2,tengah-tengah
psangan,pasangan
seeeemua,semua
even,bahkan
ketua2,ketua-ketua
pftttt,pft
kerrennn,keren
lohhh,loh
gokilll,gila
jidad,jidat
banged,banget
gtuu,begitu
ajakin,mengajak
sahabatt,sahabat
gasskeun,gas
pertamany,pertamanya
mualll,mual
sakit2,sakit-sakit
ngk,enggak
woahh,wah
scr,secara
woe,woi
ugha,juga
kaannnn,kan
siiih,sih
teruss,terus
bres,beres
da,ada
amiiiiiiiiiiin,aamiin
tnya,tanya
positippp,positif
seharusny,seharusnya
menjdi,menjadi
saodaraku,saudaraku
kebykan,kebanyakan
nyaaaaaaa,nya
bneraan,benaran
u,untuk
kpn,kapan
kekuasakan,kekuasaan
oranh,orang
suksess,sukses
jelex,jelek
aamiiiinnnnn,aamiin
ngajak,mengajak
kelg,keluarga
ancor,hancur
kmaren,kemarin
lh,lah
ongkiir,ongkir
gde,gede
kapok2,kapok-kapok
terusssw,terus
bpikir,berpikir
kayaa,kaya
